"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"631 - NM Department of Workforce Solutions (2004)","2004-12-15","Unqualified","22","16 PY - (1)Adjudication unit did not always meet the DLA requirements for quality established by the USDOL. (1)Subpoenas. (1)Employers quarterly excess wages. (1)Benefit overpayments. (1)Financial status reports are not reported on accrual basis. (1)Budget state reports do not agree. (1)Reversions to the General fund not remitted. (1)Unemployment insurance reconciliations not performed. (1)Lack of process for review of unemployment insurance allowable costs. (1)Modifications made to data structure. (1)Disposal of lost assets. (1)Unemployment insurance quarterly reports. (1)Unemployment insurance period of availability. (1)Employment services quarterly reports. (1)Budgetary comparisons not presented. (1)Negative budgetary variances. - 6 CY - (1)Missing vouchers. (1)Travel by state-owned airplane. (1)Lack of monitoring of workforce investment act subrecipients. (1)Mainframe user authorization. (1)Contributions operations report. (1)Management reviews of workforce investment act financial status reports. ",
"635 - NM Department of Workforce Solutions (2005)","2006-03-22","Unqualified","3","3 CY: 1) Timeliness of audit report; 2) Providing CFDA numbers; 3) Subrecipient monitoring.",
"631 - NM Department of Workforce Solutions (2005)","2006-05-11","Unqualified","31","PY-15 1)Adjudication unit 2)Employer&#039;s Quarterly Excess Wages 3)Benefit overpayments 4)Accounting Basis for financial status reports 5)Reversions to State General Fund 6)Unemployment insurance reconciliations 7)Unemployment insurance allowable costs 8)Modifications made to data structures 9)Disposal of lost capital assets 10)Eligibilty determination documentation 11)Unemployment insurance quarterly reports 12)Unemployment insurance period of availability 13)Budgetary comparisons 14)System Access for terminated employees 15)Contribution operations report (ETA- 581) CY-16 1)In-state meals reimbursement 2)Out-of-state milage reimbursement 3)Cash reconciliation (material weakness) 4)Delinquent employer contribution report 5)Access to computer room 6)Cancellation of supporting documentation for travel expenses 7)Change management documentation 8)DP machine utilization table for indirect cost allocation 9)Job exception monitoring 10)User Access authorization 11)Unemployment insurance matching 12)Reversion of s",
"635 - NM Department of Workforce Solutions (2006)","2006-12-15","Unqualified","4","<p>1 PY: Sub-recipient monitoring. 3 CY: 1) Sub-recipient monitoring; 2) Cash management; 3) Cash Management.</p>",
"631 - NM Department of Workforce Solutions (2006)","2007-07-27","Unqualified","10","PY-9 1)Incorrect reporting of excess wages 2)Lack of reconciliation between FARS &amp; UICS unemployment pymts 3)Lack of review process relating to unemployment insurance reports 4)Inaccurate budgetary comparisons 5)Inaccurate contribution operations reporting 6)Inadequate financial accounting &amp; reporting (material weakness) 7)Financial Stmts at the individual CAS fund level were not prepared 8)Cash balances not reconciled (material weakness) 9)Inaccurate employer contribution reports-TACS system (material weakness) CY-1 1)Late submission of Data collection form to Federal clearinghouse",
"631 - NM Department of Workforce Solutions (2007)","2009-06-01","Unqualified","17","",
"635 - NM Department of Workforce Solutions (2007)","2008-11-14","Unqualified","6","<p>PY-1 1)Subrecipient monitoring-material weakness CY-5 1)Financial statement preparation-SAS 112 2)Late audit report-significant deficiency 3)A-133 requires that the audit be completed within nine months of year-end 4)Annual Physical inventory was not taken 5)Reversion not submitted to the State in a timely manner</p>",
"631 - NM Department of Workforce Solutions (2008)","2009-09-01","Unqualified","19","",
"631 - NM Department of Workforce Solutions (2009)","2010-03-26","Unqualified","19","",
"631 - NM Department of Workforce Solutions (2010)","2010-12-15","Unqualified","14","",
"631 - NM Department of Workforce Solutions (2011)","2011-12-14","Unqualified","10","",
"419 - NM Economic Development Department (1999)","1999-01-01","Unqualified","8","I-9 forms, F/A, Grant reporting, Sub. Recp. monitoring, (3)Travel payments, Cash deposits. ",
"419 - NM Economic Development Department (2000)","2000-01-01","Unqualified","0"," ",
"419 - NM Economic Development Department (2001)","2001-12-07","Unqualified","0"," ",
"419 - NM Economic Development Department (2002)","2002-11-16","Unqualified","0"," ",
"419 - NM Economic Development Department (2003)","2003-12-15","Unqualified","0"," ",
"419 - NM Economic Development Department (2004)","2004-12-15","Unqualified","1","CY - (1)Lack of segregation of duties. ",
"419 - NM Economic Development Department (2005)","2005-12-15","Unqualified","0","None",
"419 - NM Economic Development Department (2006)","2006-12-14","Unqualified","0","None",
"419 - NM Economic Development Department (2007)","2007-12-17","Unqualified","2","CY-2 1)EDD recorded loan payments &amp; the corresponding interest payments in the Department&#039;s general fund rather than in the Department&#039;s revolving loan community development fund 2)The Department didn&#039;t perform monthly reconciliations of the Department&#039;s financial statements",
"419 - NM Economic Development Department (2008)","2008-12-15","Unqualified","0","",
"419 - NM Economic Development Department (2009)","2009-12-10","Unqualified","2","",
"419 - NM Economic Development Department (2010)","2010-12-15","Unqualified","3","",
"419 - NM Economic Development Department (2011)","2012-01-10","Unqualified","7","",
"385 - NM Finance Authority (1999)","1999-01-01","Unqualified","6","(2)P/Y, (4)C/Y Trust Accounts, General Ledger, Bank Recs., Conflict of Interest policy, Interest income, MIS ",
"385 - NM Finance Authority (2001)","2001-12-13","Unqualified","2","(1)PPRF Direct loans program funds (1)Subrecipient loan closing ",
"385 - NM Finance Authority (2002)","2002-12-13","Unqualified","1","CY - (1)Unauthorized signatures Water/Waste Water Grant Fund ",
"385 - NM Finance Authority (2003)","2003-12-09","Unqualified","2","2 CY - (1)Information system security policy. (1)Information system disaster recovery plan. ",
"385 - NM Finance Authority (2004)","2004-12-15","Unqualified","1","CY - (1)Drinking Water State Revolving fund - Authority was not in compliance with the cash draw proportionality rules and state match requirements. ",
"385 - NM Finance Authority (2005)","2006-01-10","Unqualified","12","12 CY: 1) Obtained signed audit contracts prior to commencement of work; 2) Reviewing unusual or infrequent journal entries; 3) Developing a fixed asset disposal policy; 4) Performing a physical inventory of fixed assets; 5) Segregating interfund and interagency activity; 6) Accounting for liabilities of offering costs; 7) Capitalizing bond offering costs; 8) Recording unemployment insurance expense; 9) Closing inactive trust accounts; 10) Clearing reconciling items; 11) Annual affirmation of code of conduct; 12) Late filing of FY05 financial statements.",
"385 - NM Finance Authority (2006)","2006-12-07","Unqualified","0","None",
"385 - NM Finance Authority (2007)","2007-11-07","Unqualified","0","",
"385 - NM Finance Authority (2008)","2008-11-19","Unqualified","1","<p>CY-1 1)Missing I-9 payroll documentation</p>",
"385 - NM Finance Authority (2009)","2010-03-26","Unqualified","2","",
"385 - NM Finance Authority (2010)","2011-03-08","Unqualified","2","",
"452 - NM Hospital Equipment Loan Council (1999)","1999-01-01","Unqualified","0"," ",
"452 - NM Hospital Equipment Loan Council (2000)","2000-12-05","Unqualified","0"," ",
"452 - NM Hospital Equipment Loan Council (2001)","2001-12-14","Unqualified","0"," ",
"452 - NM Hospital Equipment Loan Council (2002)","2002-12-06","Unqualified","0"," ",
"452 - NM Hospital Equipment Loan Council (2003)","2003-12-30","Unqualified","0"," ",
"452 - NM Hospital Equipment Loan Council (2004)","2004-12-10","Unqualified","1","CY - 2003 Audit exit conference was held in public meeting. ",
"452 - NM Hospital Equipment Loan Council (2005)","2005-11-01","Unqualified","1","1 CY: Bank account - pledged collateral.",
"452 - NM Hospital Equipment Loan Council (2006)","2006-11-02","Unqualified","0","None",
"452 - NM Hospital Equipment Loan Council (2007)","2007-11-29","Unqualified","0","",
"452 - NM Hospital Equipment Loan Council (2008)","2008-11-17","Unqualified","0","",
"452 - NM Hospital Equipment Loan Council (2009)","2009-12-01","Unqualified","0","",
"452 - NM Hospital Equipment Loan Council (2010)","2010-11-12","Unqualified","2","",
"452 - NM Hospital Equipment Loan Council (2011)","2011-12-01","Unqualified","0","",
"538 - NM Intertribal Ceremonial Office (2007)","2008-03-01","Unqualified","2","<p>CY-2 1)The Ceremonial Office does not have a written agreement with the Inter-Tribal Indian Ceremonial Assn, Inc. (a not-for-profit) to charge admission, parking, and concession fees, give prizes and premiums during the annual ceremonial event, no written agreement for sale of tickets or fees 2)Late Audit Report</p>",
"538 - NM Intertribal Ceremonial Office (2008)","2008-12-15","Unqualified","1","<p>PY&amp;CY-1 1)Related party of the NM Intertribal Ceremonial Office and the Gallup Intertribal Indain Ceremonial Assn, Inc.</p>",
"538 - NM Intertribal Ceremonial Office (2009)","2009-11-24","Unqualified","1","",
"538 - NM Intertribal Ceremonial Office (2010)","2010-11-05","Unqualified","1","",
"538 - NM Intertribal Ceremonial Office (2011)","2011-12-13","Unqualified","0","",
"940 - NM Public School Facilities Authority (2003)","2003-12-15","Unqualified","12","12 CY - (1)Fixed (capital) asset records. (1)There were travel/per diem act violations. (1)Cash reconciliations. (1)Journal voucher approvals. (1)PR/Human resources policies. (1)Cash disbursements. (1)Storing backup tapes off-site. (1)Written security policy. (1)T1 line usage. (1)Strong passwords. (1)Security of server room. (1)Cooling the server room. ",
"940 - NM Public School Facilities Authority (2004)","2004-12-15","Unqualified","1","PY - (1)Cooling the server room. ",
"940 - NM Public School Facilities Authority (2005)","2005-12-15","Unqualified","3","1 PY: Cooling the server room - no cooling system in the server room. 2 CY: 1) Security of server room - access to the server room is not limited to authorized personnel only; 2) Procurement code - the auditee did not conduct a formal bid.",
"940 - NM Public School Facilities Authority (2006)","2006-12-15","Unqualified","3","CY-3 1)Automobile fleet milage id less than average for comparable vehicles 2)Agency does not have policies to control &amp; prevent misuse 3)Head of Agency was not at exit conference",
"940 - NM Public School Facilities Authority (2007)","2008-06-12","Unqualified","5","<p>CY-5 1)Accounting records were inadequate/out of balance 2)Expenditure documentation was missing or inadequate 3)Late Audit Report 4)Capital asset inventory not performed 5)Negative investment accounts</p>",
"940 - NM Public School Facilities Authority (2008)","2008-12-15","Unqualified","2","<p>PY&amp;CY-2 1)Negative investment account 2)Member of governing board did not attend exit conference</p>",
"940 - NM Public School Facilities Authority (2009)","2009-12-15","Unqualified","0","",
"940 - NM Public School Facilities Authority (2010)","2011-08-03","Unqualified","1","",
"940 - NM Public School Facilities Authority (2011)","2012-01-25","Unqualified","2","",
"342 - NM Public School Insurance Authority (2003)","2003-12-15","Unqualified","1","CY - (1)An appointed board member missed 4 meetings, but remains on the board. ",
"342 - NM Public School Insurance Authority (2004)","2004-12-15","Unqualified","2","2 CY: 1) There were unsecured public funds, either uninsured or under-collateralized; 1) There were travel/per diem act violations.",
"342 - NM Public School Insurance Authority (2005)","2005-12-13","Unqualified","0","None",
"342 - NM Public School Insurance Authority (2006)","2006-12-15","Unqualified","1","1 CY: Three non-governmental not for profit entities that are included as NMPSIA members, but are not technically eligible to be members.",
"342 - NM Public School Insurance Authority (2007)","2007-12-17","Unqualified","0","",
"342 - NM Public School Insurance Authority (2008)","2008-12-15","Unqualified","0","",
"342 - NM Public School Insurance Authority (2009)","2009-12-15","Unqualified","0","",
"342 - NM Public School Insurance Authority (2010)","2010-12-14","Unqualified","1","",
"342 - NM Public School Insurance Authority (2011)","2011-12-13","Unqualified","0","",
"965 - NM School for the Blind & Visually Handicapped (2001)","2001-11-05","Unqualified","8","(3)Payroll (1)Required vacation (1)Purchase orders (1)Receipting wire transfers (1)Disbursements (1)PY - Disposal of assets ",
"965 - NM School for the Blind & Visually Handicapped (2002)","2002-11-15","Unqualified","2","CY (1) fixed capital asset records are inadequate, (1) budget expenditures authority was exceeded ",
"965 - NM School for the Blind & Visually Handicapped (2003)","2003-11-14","Unqualified","0"," ",
"965 - NM School for the Blind & Visually Handicapped (2004)","2004-11-15","Unqualified","1","CY - (1)Improper disposal of assets. ",
"965 - NM School for the Blind & Visually Handicapped (2005)","2005-11-15","Unqualified","1","1 CY: PERA forms not filed for exempt employees.",
"965 - NM School for the Blind & Visually Handicapped (2006)","2006-11-15","Unqualified","1","1 PY: Forms not filed for exempt employees.",
"965 - NM School for the Blind & Visually Handicapped (2007)","2007-11-15","Unqualified","2","CY-2 1)FY05 &amp; FY06 audit reports were not presented to a quorum of the governing authority of the School for approval at a public meeting as required by the Audit Rule 2)School incorrectly omitted reporting receipts for gross receipts tax purposes until all payments on an outstanding invoice were rec&#039;vd &amp; they were also using the City gross receipts tax rate instead of the governmental gross receipts tax rate",
"965 - NM School for the Blind & Visually Handicapped (2008)","2008-11-17","Unqualified","1","<p>CY-1 1)Outreach itinerant contract</p>",
"965 - NM School for the Blind & Visually Handicapped (2009)","2009-11-15","Unqualified","3","",
"965 - NM School for the Blind & Visually Handicapped (2010)","2010-11-15","Unqualified","3","",
"965 - NM School for the Blind & Visually Handicapped (2011)","2011-11-15","Unqualified","1","",
"6189 - NM Self Insurers Fund (1998)","1998-01-01","Unqualified","1","Year 2000 Issue ",
"6189 - NM Self Insurers Fund (1999)","1999-01-01","Unqualified","0"," ",
"6189 - NM Self Insurers Fund (2000)","2000-01-01","Unqualified","3","(1)Investments, (1)Pledged Collateral, (1)Claims Reconcilation ",
"6189 - NM Self Insurers Fund (2001)","2001-12-15","Unqualified","2","(1)Prior Year - Investments not reported at FMV Current Year - (1)Late audit report ",
"6189 - NM Self Insurers Fund (2002)","2002-11-21","Unqualified","0"," ",
"6189 - NM Self Insurers Fund (2003)","2003-11-24","Unqualified","0"," ",
"6189 - NM Self Insurers Fund (2004)","2004-11-01","Unqualified","0","None",
"6189 - NM Self Insurers Fund (2005)","2005-11-14","Unqualified","0","None",
"6189 - NM Self Insurers Fund (2006)","2006-11-13","Unqualified","1","CY: Premium invoicing error.",
"6189 - NM Self Insurers Fund (2007)","2007-10-09","Unqualified","0","",
"6189 - NM Self Insurers Fund (2008)","2008-11-01","Unqualified","0","",
"6189 - NM Self Insurers Fund (2009)","2009-10-05","Unqualified","0","",
"6189 - NM Self Insurers Fund (2010)","2010-12-27","Unqualified","1","",
"6189 - NM Self Insurers Fund (2011)","2011-11-17","Unqualified","0","",
"953-B - NM State University Arrowhead Center (2008)","2008-11-14","Unqualified","0","",
"953-B - NM State University Arrowhead Center (2009)","2009-11-04","Unqualified","0","",
"953-B - NM State University Arrowhead Center (2010)","2010-11-08","Unqualified","0","",
"953-B - NM State University Arrowhead Center (2011)","2011-10-26","Unqualified","0","",
"953-A - NM State University Foundation (2008)","2008-11-11","Unqualified","0","",
"953-A - NM State University Foundation (2009)","2009-11-04","Unqualified","0","",
"953-A - NM State University Foundation (2010)","2010-11-08","Unqualified","0","",
"953-A - NM State University Foundation (2011)","2011-10-26","Unqualified","0","",
"961-A - NMMI Foundation, Inc. (2008)","2008-09-18","Unqualified","0","",
"961-A - NMMI Foundation, Inc. (2009)","2009-09-14","Unqualified","0","",
"961-A - NMMI Foundation, Inc. (2010)","2010-10-06","Unqualified","0","",
"961-A - NMMI Foundation, Inc. (2011)","2011-10-17","Unqualified","0","",
"2045 - Nor-Lea General Hospital (2004)","2004-10-15","Unqualified","2","2 CY: 1) Error in patient billing; 1) Payment of physician bonuses.",
"2045 - Nor-Lea General Hospital (2005)","2005-10-18","Unqualified","2","2 CY: 1) Internal control design and segration of duties; 1) Investment oversight.",
"2045 - Nor-Lea General Hospital (2006)","2006-10-15","Unqualified","3","3 CY: 1) Control over payroll calculation; 2) Control over purchasing &amp; disbursements; 3) Deposits undercollateralized.",
"2045 - Nor-Lea General Hospital (2007)","2007-10-15","Unqualified","1","CY-1 1)Old process for estimation of discounts &amp; bad debt allowances",
"2045 - Nor-Lea General Hospital (2008)","2008-10-15","Unqualified","0","",
"2045 - Nor-Lea General Hospital (2009)","2009-10-15","Unqualified","0","",
"2045 - Nor-Lea General Hospital (2010)","2010-10-15","Unqualified","0","",
"2045 - Nor-Lea General Hospital (2011)","2011-10-18","Unqualified","0","",
"821 - North Central NM Economic Development District (1999)","1999-01-01","Unqualified","0"," ",
"821 - North Central NM Economic Development District (2000)","2000-01-01","Unqualified","0"," ",
"821 - North Central NM Economic Development District (2001)","2001-12-15","Unqualified","3","(1)Loan file documentation (1)Grant reports (1)Financial reporting system ",
"821 - North Central NM Economic Development District (2002)","2002-12-16","Unqualified","0"," ",
"821 - North Central NM Economic Development District (2003)","2003-12-15","Unqualified","0"," ",
"821 - North Central NM Economic Development District (2004)","2004-12-23","Unqualified","1","CY - (1)Late audit report. ",
"821 - North Central NM Economic Development District (2005)","2005-12-09","Unqualified","1","1 CY: Reconciliation of payroll tax reports.",
"821 - North Central NM Economic Development District (2006)","2006-12-15","Unqualified","0","None",
"821 - North Central NM Economic Development District (2007)","2007-12-17","Unqualified","0","",
"821 - North Central NM Economic Development District (2008)","2008-12-15","Unqualified","0","",
"821 - North Central NM Economic Development District (2009)","2009-12-14","Unqualified","0","",
"821 - North Central NM Economic Development District (2010)","2010-12-15","Unqualified","0","",
"821 - North Central NM Economic Development District (2011)","2011-12-09","Unqualified","1","",
"4026 - North Central Regional Transit District (2006)","2007-09-11","Unqualified","2","CY-2 1)Late Audit Report 2)No prior approval on Audit Services",
"4026 - North Central Regional Transit District (2007)","2008-11-13","Unqualified","2","<p>PY-2 1)Missing disbursement documentation 2)Late audit report</p>",
"4026 - North Central Regional Transit District (2008)","2009-12-21","Unqualified","13","",
"4026 - North Central Regional Transit District (2009)","2011-02-23","Unqualified","13","",
"4026 - North Central Regional Transit District (2010)","2011-09-27","Unqualified","17","",
"4026 - North Central Regional Transit District (2011)","2011-12-01","Unqualified","5","",
"4031 - North Central Solid Waste Authority (2005)","2009-12-01","Unqualified","7","",
"4031 - North Central Solid Waste Authority (2006)","2010-04-02","Unqualified","7","",
"4031 - North Central Solid Waste Authority (2009)","2009-12-01","In review","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2004)","2004-11-08","Unqualified","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2005)","2005-10-14","Unqualified","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2006)","2006-10-26","Unqualified","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2007)","2007-10-04","Unqualified","1","Cy-1 1)Budget Expenditures were exceeded",
"4028 - North Ranchos de Placitas Water & Sanitation District (2008)","2008-09-18","Unqualified","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2009)","2009-09-01","Unqualified","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2010)","2010-10-01","Agreed Upon Procedure (No Opinion)","0","",
"4028 - North Ranchos de Placitas Water & Sanitation District (2011)","2011-10-19","Agreed Upon Procedure (No Opinion)","0","",
"3280 - North Star MDWCA (2004)","2005-05-31","Unqualified","1","CY-1 1)Fixed capital assets records are inadequate",
"3280 - North Star MDWCA (2005)","2006-12-27","Unqualified","5","PY&amp;CY-1 1)Detailed listing of fixed assets inventory was not available CY-4 1)Late Audit Report 2)Missing disbursement documentation 3)Bills were calculated incorrectly 4)Collateral for public monies",
"3280 - North Star MDWCA (2006)","2007-05-23","Unqualified","3","CY-3 1)Detailed listing of fixed assets inventory was not avialable 2)Bills were calculated incorrectly 3)Collateral for public monies",
"3280 - North Star MDWCA (2007)","2008-12-15","Unqualified","5","<p>PY-2 1)Detailed listing of fixed assets inventory not available 2)Late audit report CY-3 1)Untimely deposits of receipts 2)IPA prepared audit report 3)Collateral for public monies</p>",
"3280 - North Star MDWCA (2008)","2009-06-01","Unqualified","2","",
"7115 - Northeast Regional Center Cooperative No.4 (2003)","2003-10-14","Unqualified","1","CY (1) no pledged securities ",
"7115 - Northeast Regional Center Cooperative No.4 (2004)","2004-09-29","Unqualified","0","None",
"7115 - Northeast Regional Center Cooperative No.4 (2005)","2005-09-30","Unqualified","0","None",
"7115 - Northeast Regional Center Cooperative No.4 (2006)","2006-09-27","Unqualified","0","None",
"7115 - Northeast Regional Center Cooperative No.4 (2007)","2008-05-19","Unqualified","5","<p>PY&amp;CY-1 1)Late Audit Report CY-4 1)Actual expenditures exceeded budget authority 2)Data Collection form not submitted to Federal Audit Clearing House timely 3)Entity personnel does not have ability to prepare financial stmts 4)Depreciation of Capital Assets</p>",
"7115 - Northeast Regional Center Cooperative No.4 (2008)","2008-09-30","Unqualified","0","",
"7115 - Northeast Regional Center Cooperative No.4 (2009)","2009-09-21","Unqualified","0","",
"7115 - Northeast Regional Center Cooperative No.4 (2010)","2010-09-29","Unqualified","1","",
"7115 - Northeast Regional Center Cooperative No.4 (2011)","2011-08-31","Unqualified","1","",
"8029 - Northeastern Soil & Water Conservation District (2004)","2006-10-04","Unqualified","3","CY-3 1)Payroll expenditures not always properly approved or correct 2)Expenditures not always properly approved 3)Deposits not made in a timely manner",
"8029 - Northeastern Soil & Water Conservation District (2005)","2006-10-01","Unqualified","3","<p>CY-3 1)Withheld tax payments processed incorrectly 2)Revenues were not properly classified 3)inaccurate cash reconciliation &amp; G/L</p>",
"8029 - Northeastern Soil & Water Conservation District (2006)","2008-07-28","Unqualified","6","<p>PY-2 1)Withheld tax payments processed incorrectly 2)Revenues were not properly classified CY-4 1)Cash deposits were not made timely 2)Federal Tax reporting 3)Expenditures-incomplete or missing supporting documentation 4)Improper disposal of fixed assets and no notification to the State Auditor</p>",
"8029 - Northeastern Soil & Water Conservation District (2007)","2010-04-08","Agreed Upon Procedure (No Opinion)","0","",
"8029 - Northeastern Soil & Water Conservation District (2008)","2011-04-08","Agreed Upon Procedure (No Opinion)","6","",
"8029 - Northeastern Soil & Water Conservation District (2009)","2011-04-08","Agreed Upon Procedure (No Opinion)","6","",
"8029 - Northeastern Soil & Water Conservation District (2010)","2011-11-07","Agreed Upon Procedure (No Opinion)","4","",
"8029 - Northeastern Soil & Water Conservation District (2011)","2011-11-07","Agreed Upon Procedure (No Opinion)","3","",
"1010 - Northern Area Local Workforce Development Board (2004)","2007-01-11","Qualified","8","PY&amp;CY-8 1)Fixed Assets-material weakness 2)Pledged collateral 3)Procurement 4)Sub-recipient monitoring 5)Fixed assets-material weakness 6)Individual training accounts 7)Sub-grantee files 8)Late Audit report",
"1010 - Northern Area Local Workforce Development Board (2005)","2007-10-07","Qualified","5","PY&amp;CY-4 1)Capital asset record are inadequate 2)There were uncollaterlized public funds 3)Late Audit Report 4)Fixed Assets-Agency couldn&#039;t provide a listing of fixed assets purchased CY-1 1)Late Data Collection form to Federal Clearinghouse",
"1010 - Northern Area Local Workforce Development Board (2006)","2008-04-15","Qualified","6","<p>PY-5 1)FS-Fixed Assets-could not perform accurate annual inventory 2)FA-undocumented pledged collateral 3)FA-Fixed Assets-could not perform accurate annual inventory 4)Late Audit Report 5)Other-Data colleciton form was late CY-1 1)FS-Procurement-not following internal purchasing policies</p>",
"1010 - Northern Area Local Workforce Development Board (2007)","2009-01-22","Qualified","8","<p>PY-6 1)Fixed assets-Financial Stmts 2)Procurement 3)Fixed Assets-Federal Award 4)Data Collection due date 5)Late Audit Report 6)Pledged&nbsp;collateral CY-2 1)Subrecipient&nbsp;monitoring 2)Board&nbsp;certification&nbsp;</p>",
"1010 - Northern Area Local Workforce Development Board (2008)","2009-11-04","Unqualified","7","",
"1010 - Northern Area Local Workforce Development Board (2009)","2009-12-01","Unqualified","5","",
"1010 - Northern Area Local Workforce Development Board (2010)","2010-12-01","Unqualified","2","",
"1010 - Northern Area Local Workforce Development Board (2011)","2011-12-01","Unqualified","1","",
"963 - Northern New Mexico Community College (2001)","2001-11-15","Unqualified","5","(3)Prior year - Timely receipt deposits/Cash disbursements/Compensated absences (1)PR Documentation/coding (1)Gifts contributed ",
"963 - Northern New Mexico Community College (2002)","2002-11-15","Unqualified","2","CY (1) payroll and payroll tax form irregularities, PY (1) compensated absences - annual leave slips were approved after the employee went on vacation ",
"963 - Northern New Mexico Community College (2003)","2003-11-14","Unqualified","3","3 CY - (1)Purchase orders. (1)Annual performance report. (1)Student support services eligibility. ",
"963 - Northern New Mexico Community College (2004)","2004-11-15","Unqualified","2","CY - (1)Cash disbursements. (1)Account reconciliations. ",
"963 - Northern New Mexico Community College (2005)","2007-07-31","Disclaimer","17","CY-17 1)Fixed Capital asset records are inadequate 2)Accounting records were inadequate/out of balance 3)Bank accounts not reconciled 4)Payroll &amp; payroll tax form irregularities 5)Late Audit Report 6)Accounts receivable reconciliations 7)Balance sheet accruals 8)Computer Controls 9)Financial Stmts of Foundation 10)Review of Journal entries 11)Inclusion of Foundation in College&#039;s records 12)Unposted entry 13)Control Accounts 14)Cash Receipts 15)Bdugetary control 16)Agreement with Foundation 17)Federal Awards Reporting",
"963 - Northern New Mexico Community College (2006)","2008-02-18","Qualified","10","PY&amp;CY-4 1)The Colege didn&#039;t reconcile its accounts receivables timely 2)The College didn&#039;t prepare bank reconciliations monthly 3)Late Audit Report 4)Federal Award-Trio Program/Educational Opportunity Center Student Support Services Compliance Requirement-Eligibility--1 of 25 tested didn&#039;t have proper supporting documentation available to verify theirclasssification as a low income student eligible for support services through the Educational Opportunity center CY-6 1)An Addition to the capital asset list didn&#039;t tie to the invoice amount 2)The library materials weren&#039;t recorded at cost in the cpaital assets 3)4 of 40 employee files tested revealed didn&#039;t have I-9 documentation 4)Federal Award(FA)-The College didn&#039;t submit its Data collection form &amp; reporting package timely 6)FA-Trio Program/Educational Opportunity Compliance Requirement-Period of Availability--1 of 40 transactions tested revealed the the students scholarship check was printed prioir to the release of",
"963 - Northern New Mexico Community College (2007)","2008-06-01","Qualified","10","<p>PY-6 1)Accounts receivable not reconciled timely 2)Late Audit Report 3)Data Collection form/reporting package not filed timely 4)Student accounts receivable subsidiary ledger not available 5)Library materials not recorded at cost 6)Missing I-9 documents&nbsp; CY-4&nbsp; 1)Expenses not properly recorded 2)Unable to observe capital asset purchase 3)Related party transactions not disclosed 4)Purchases for Student clubs and organizations did not follow procurement policies</p>",
"963 - Northern New Mexico Community College (2008)","2008-11-17","Unqualified","6","<p>PY&amp;CY-4 1)Account receivables not reconciled timely 2)Missing I-9 documents 3)Expenses not properly recorded&nbsp; 4)Purchases did not follow procurement policies CY-2 1)Errors in inventory count at El Rito campus 2)Federal PELL grant payment not reported timely</p>",
"963 - Northern New Mexico Community College (2009)","2010-04-13","Multiple Opinion (See Audit Report)","25","",
"963 - Northern New Mexico Community College (2010)","2012-05-02","In review","0","",
"7100 - Northern NM Network for Rural Education (1999)","1999-01-01","Unqualified","1","Contracts Not Written ",
"7100 - Northern NM Network for Rural Education (2000)","2000-01-01","Unqualified","0"," ",
"7100 - Northern NM Network for Rural Education (2005)","2007-08-29","Unqualified","3","CY-3 1)Inadequate separation of duties 2)Timeliness of Audit Report 3)Late submission of Federal Data Collection form",
"7100 - Northern NM Network for Rural Education (2006)","2008-08-14","Unqualified","2","<p>PY-2 1)Late Audit Report 2)Late Data Collection Form</p>",
"7100 - Northern NM Network for Rural Education (2007)","2008-08-14","Unqualified","2","<p>PY-2 1)Late Audit Report 2)Late Data Collection Form</p>",
"7100 - Northern NM Network for Rural Education (2008)","2009-10-23","Unqualified","2","",
"7100 - Northern NM Network for Rural Education (2009)","2010-08-19","Unqualified","4","",
"7100 - Northern NM Network for Rural Education (2010)","2011-09-29","Unqualified","3","",
"7100 - Northern NM Network for Rural Education (2011)","2012-02-03","Unqualified","1","",
"4029 - Northwest New Mexico Regional Solid Waste Authority (2004)","2004-11-15","Unqualified","8","PY-3 1)Cash receipts not always deposited within 24 hrs 2)Human resource procedure 3)Revenue contract for roll-off customers were not signed by both parties &amp; the terms were not stated CY-5 1)Payroll irregularities-time sheets do not include supervisor sig 2)Inventory records are not reconciled between the inventory on hand &amp; the GL each month 3)Segregation of duties-same individual approves credit customer application, approves roll-off customer contracts &amp; prepares monthly billing invoices 4)Authority failed to notify the State Auditor of possible criminal statute violation in connection w/it&#039;s financial affairs 5)Insurance coverage-there was a lapse of insurance coverage due to non-renewal",
"4029 - Northwest New Mexico Regional Solid Waste Authority (2005)","2005-10-06","Unqualified","7","PY-4 1)Cash receipts 2)Human resource procedures 3)Payroll 4)Communications w/the State Auditor CY-3 1)Travel &amp; per diem 2)Budget overage 3)Required reporting",
"4029 - Northwest New Mexico Regional Solid Waste Authority (2006)","2006-10-03","Unqualified","6","PY-2 1)Cash receipts 2)Travel &amp; per diem CY-4 1)Segregation of duties 2)Pledging of collateral for Public money 3)Accounting &amp; Monthly close procedures 4)Internal controls over sales, accounts receivables &amp; cash collections",
